xflr5 v6.61

Plane name :        CLARKY
Polar name :        T1-12.0 m/s-VLM1-Inviscid
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.212294   0.001594   0.000000   0.001594  -0.000000  -0.000000  -0.121842   0.000000   0.000000   12.0000    -0.0072
   -4.500     0.000  -0.168632   0.001048   0.000000   0.001048   0.000000  -0.000000  -0.114544  -0.000000  -0.000000   12.0000    -0.0240
   -4.000     0.000  -0.124939   0.000625   0.000000   0.000625  -0.000000  -0.000000  -0.107212  -0.000000  -0.000000   12.0000    -0.0525
   -3.500     0.000  -0.081223   0.000325   0.000000   0.000325  -0.000000  -0.000000  -0.099849  -0.000000  -0.000000   12.0000    -0.1116
   -3.000     0.000  -0.037489   0.000149   0.000000   0.000149  -0.000000  -0.000000  -0.092458   0.000000   0.000000   12.0000    -0.3087
   -2.500     0.000   0.006256   0.000096   0.000000   0.000096  -0.000000  -0.000000  -0.085040  -0.000000  -0.000000   12.0000     2.2506
   -2.000     0.000   0.050005   0.000168   0.000000   0.000168  -0.000000  -0.000000  -0.077597   0.000000   0.000000   12.0000     0.3317
   -1.500     0.000   0.093752   0.000363   0.000000   0.000363  -0.000000  -0.000000  -0.070133  -0.000000  -0.000000   12.0000     0.2036
   -1.000     0.000   0.137489   0.000683   0.000000   0.000683  -0.000000  -0.000000  -0.062648   0.000000   0.000000   12.0000     0.1571
   -0.500     0.000   0.181212   0.001127   0.000000   0.001127  -0.000000  -0.000000  -0.055146  -0.000000  -0.000000   12.0000     0.1330
    0.000     0.000   0.224912   0.001694   0.000000   0.001694  -0.000000   0.000000  -0.047629  -0.000000  -0.000000   12.0000     0.1182
    0.500     0.000   0.268583   0.002385   0.000000   0.002385  -0.000000  -0.000000  -0.040099  -0.000000  -0.000000   12.0000     0.1083
    1.000     0.000   0.312220   0.003199   0.000000   0.003199  -0.000000  -0.000000  -0.032559  -0.000000  -0.000000   12.0000     0.1012
    1.500     0.000   0.355814   0.004135   0.000000   0.004135  -0.000000  -0.000000  -0.025009  -0.000000  -0.000000   12.0000     0.0958
    2.000     0.000   0.399361   0.005194   0.000000   0.005194  -0.000000   0.000000  -0.017454   0.000000   0.000000   12.0000     0.0916
    2.500     0.000   0.442852   0.006373   0.000000   0.006373  -0.000000  -0.000000  -0.009896   0.000000   0.000000   12.0000     0.0882
    3.000     0.000   0.486282   0.007674   0.000000   0.007674  -0.000000  -0.000000  -0.002335  -0.000000  -0.000000   12.0000     0.0854
    3.500     0.000   0.529645   0.009094   0.000000   0.009094  -0.000000   0.000000   0.005224   0.000000   0.000000   12.0000     0.0831
    4.000     0.000   0.572933   0.010632   0.000000   0.010632  -0.000000   0.000000   0.012780  -0.000000  -0.000000   12.0000     0.0812
    4.500     0.000   0.616141   0.012289   0.000000   0.012289  -0.000000  -0.000000   0.020331  -0.000000  -0.000000   12.0000     0.0795
    5.000     0.000   0.659262   0.014061   0.000000   0.014061  -0.000000   0.000000   0.027874  -0.000000  -0.000000   12.0000     0.0780
    5.500     0.000   0.702290   0.015949   0.000000   0.015949  -0.000000   0.000000   0.035407   0.000000   0.000000   12.0000     0.0768
    6.000     0.000   0.745217   0.017952   0.000000   0.017952  -0.000000   0.000000   0.042928   0.000000   0.000000   12.0000     0.0757
    6.500     0.000   0.788039   0.020066   0.000000   0.020066  -0.000000   0.000000   0.050434  -0.000000  -0.000000   12.0000     0.0747
    7.000     0.000   0.830749   0.022292   0.000000   0.022292  -0.000000   0.000000   0.057923  -0.000000  -0.000000   12.0000     0.0738
    7.500     0.000   0.873341   0.024628   0.000000   0.024628  -0.000000   0.000000   0.065392   0.000000   0.000000   12.0000     0.0730
    8.000     0.000   0.915808   0.027071   0.000000   0.027071  -0.000000  -0.000000   0.072841   0.000000   0.000000   12.0000     0.0723
    8.500     0.000   0.958145   0.029620   0.000000   0.029620  -0.000000   0.000000   0.080265  -0.000000  -0.000000   12.0000     0.0716
    9.000     0.000   1.000345   0.032274   0.000000   0.032274  -0.000000   0.000000   0.087664   0.000000   0.000000   12.0000     0.0710
    9.500     0.000   1.042403   0.035030   0.000000   0.035030  -0.000000   0.000000   0.095034  -0.000000  -0.000000   12.0000     0.0705
   10.000     0.000   1.084312   0.037887   0.000000   0.037887  -0.000000   0.000000   0.102374  -0.000000  -0.000000   12.0000     0.0700
   10.500     0.000   1.126067   0.040842   0.000000   0.040842  -0.000000  -0.000000   0.109681  -0.000000  -0.000000   12.0000     0.0696
   11.000     0.000   1.167661   0.043893   0.000000   0.043893  -0.000000   0.000000   0.116953   0.000000   0.000000   12.0000     0.0691
   11.500     0.000   1.209090   0.047038   0.000000   0.047038  -0.000000  -0.000000   0.124188  -0.000000  -0.000000   12.0000     0.0688
   12.000     0.000   1.250347   0.050275   0.000000   0.050275  -0.000000  -0.000000   0.131383  -0.000000  -0.000000   12.0000     0.0684
   12.500     0.000   1.291427   0.053601   0.000000   0.053601  -0.000000   0.000000   0.138537  -0.000000  -0.000000   12.0000     0.0681
   13.000     0.000   1.332325   0.057015   0.000000   0.057015  -0.000000   0.000000   0.145647  -0.000000  -0.000000   12.0000     0.0678
   13.500     0.000   1.373034   0.060512   0.000000   0.060512  -0.000000   0.000000   0.152711   0.000000   0.000000   12.0000     0.0675
   14.000     0.000   1.413549   0.064092   0.000000   0.064092  -0.000000   0.000000   0.159727   0.000000   0.000000   12.0000     0.0673
   14.500     0.000   1.453866   0.067751   0.000000   0.067751  -0.000000   0.000000   0.166693  -0.000000  -0.000000   12.0000     0.0670
   15.000     0.000   1.493979   0.071486   0.000000   0.071486  -0.000000   0.000000   0.173606   0.000000   0.000000   12.0000     0.0668


