xflr5 v6.61

Plane name :        E214
Polar name :        T1-12.0 m/s-VLM1
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.024293   0.000178   0.000000   0.000178  -0.000000  -0.000000  -0.156605   0.000000   0.000000   12.0000    -0.9555
   -4.500     0.000   0.019270   0.000164   0.000000   0.000164  -0.000000  -0.000000  -0.149672   0.000000   0.000000   12.0000     1.3361
   -4.000     0.000   0.062840   0.000275   0.000000   0.000275  -0.000000  -0.000000  -0.142698  -0.000000  -0.000000   12.0000     0.4501
   -3.500     0.000   0.106411   0.000511   0.000000   0.000511  -0.000000  -0.000000  -0.135685  -0.000000  -0.000000   12.0000     0.2896
   -3.000     0.000   0.149975   0.000871   0.000000   0.000871  -0.000000  -0.000000  -0.128637   0.000000   0.000000   12.0000     0.2223
   -2.500     0.000   0.193526   0.001357   0.000000   0.001357  -0.000000  -0.000000  -0.121554   0.000000   0.000000   12.0000     0.1854
   -2.000     0.000   0.237058   0.001968   0.000000   0.001968  -0.000000  -0.000000  -0.114439  -0.000000  -0.000000   12.0000     0.1620
   -1.500     0.000   0.280564   0.002704   0.000000   0.002704  -0.000000  -0.000000  -0.107295  -0.000000  -0.000000   12.0000     0.1459
   -1.000     0.000   0.324037   0.003564   0.000000   0.003564  -0.000000  -0.000000  -0.100122   0.000000   0.000000   12.0000     0.1341
   -0.500     0.000   0.367471   0.004548   0.000000   0.004548  -0.000000  -0.000000  -0.092925   0.000000   0.000000   12.0000     0.1251
    0.000     0.000   0.410859   0.005655   0.000000   0.005655  -0.000000  -0.000000  -0.085704   0.000000   0.000000   12.0000     0.1180
    0.500     0.000   0.454195   0.006885   0.000000   0.006885  -0.000000  -0.000000  -0.078462  -0.000000  -0.000000   12.0000     0.1122
    1.000     0.000   0.497472   0.008238   0.000000   0.008238  -0.000000  -0.000000  -0.071201   0.000000   0.000000   12.0000     0.1075
    1.500     0.000   0.540684   0.009712   0.000000   0.009712  -0.000000   0.000000  -0.063924   0.000000   0.000000   12.0000     0.1035
    2.000     0.000   0.583824   0.011306   0.000000   0.011306  -0.000000   0.000000  -0.056632  -0.000000  -0.000000   12.0000     0.1002
    2.500     0.000   0.626886   0.013021   0.000000   0.013021  -0.000000   0.000000  -0.049328   0.000000   0.000000   12.0000     0.0973
    3.000     0.000   0.669863   0.014853   0.000000   0.014853  -0.000000  -0.000000  -0.042013  -0.000000  -0.000000   12.0000     0.0947
    3.500     0.000   0.712749   0.016803   0.000000   0.016803  -0.000000   0.000000  -0.034692   0.000000   0.000000   12.0000     0.0925
    4.000     0.000   0.755538   0.018870   0.000000   0.018870  -0.000000   0.000000  -0.027364  -0.000000  -0.000000   12.0000     0.0906
    4.500     0.000   0.798223   0.021051   0.000000   0.021051  -0.000000   0.000000  -0.020034   0.000000   0.000000   12.0000     0.0888
    5.000     0.000   0.840799   0.023345   0.000000   0.023345  -0.000000   0.000000  -0.012702  -0.000000  -0.000000   12.0000     0.0873
    5.500     0.000   0.883257   0.025752   0.000000   0.025752  -0.000000   0.000000  -0.005371   0.000000   0.000000   12.0000     0.0858
    6.000     0.000   0.925594   0.028269   0.000000   0.028269  -0.000000   0.000000   0.001956   0.000000   0.000000   12.0000     0.0846
    6.500     0.000   0.967802   0.030894   0.000000   0.030894  -0.000000   0.000000   0.009277   0.000000   0.000000   12.0000     0.0834
    7.000     0.000   1.009875   0.033626   0.000000   0.033626  -0.000000   0.000000   0.016591  -0.000000  -0.000000   12.0000     0.0824
    7.500     0.000   1.051808   0.036464   0.000000   0.036464  -0.000000   0.000000   0.023894   0.000000   0.000000   12.0000     0.0814
    8.000     0.000   1.093593   0.039404   0.000000   0.039404  -0.000000   0.000000   0.031186   0.000000   0.000000   12.0000     0.0805
    8.500     0.000   1.135227   0.042446   0.000000   0.042446  -0.000000   0.000000   0.038462  -0.000000  -0.000000   12.0000     0.0797
    9.000     0.000   1.176701   0.045587   0.000000   0.045587  -0.000000   0.000000   0.045722  -0.000000  -0.000000   12.0000     0.0789
    9.500     0.000   1.218012   0.048825   0.000000   0.048825  -0.000000   0.000000   0.052963  -0.000000  -0.000000   12.0000     0.0782
   10.000     0.000   1.259152   0.052157   0.000000   0.052157  -0.000000   0.000000   0.060183  -0.000000  -0.000000   12.0000     0.0776
   10.500     0.000   1.300117   0.055582   0.000000   0.055582  -0.000000   0.000000   0.067379   0.000000   0.000000   12.0000     0.0770
   11.000     0.000   1.340900   0.059096   0.000000   0.059096  -0.000000   0.000000   0.074550   0.000000   0.000000   12.0000     0.0764
   11.500     0.000   1.381497   0.062698   0.000000   0.062698  -0.000000   0.000000   0.081693  -0.000000  -0.000000   12.0000     0.0759
   12.000     0.000   1.421901   0.066385   0.000000   0.066385  -0.000000   0.000000   0.088806   0.000000   0.000000   12.0000     0.0754
   12.500     0.000   1.462107   0.070155   0.000000   0.070155  -0.000000   0.000000   0.095887   0.000000   0.000000   12.0000     0.0750
   13.000     0.000   1.502110   0.074004   0.000000   0.074004  -0.000000   0.000000   0.102934  -0.000000  -0.000000   12.0000     0.0745
   13.500     0.000   1.541905   0.077930   0.000000   0.077930  -0.000000   0.000000   0.109944  -0.000000  -0.000000   12.0000     0.0741
   14.000     0.000   1.581487   0.081931   0.000000   0.081931  -0.000000   0.000000   0.116916   0.000000   0.000000   12.0000     0.0737
   14.500     0.000   1.620850   0.086003   0.000000   0.086003  -0.000000   0.000000   0.123847  -0.000000  -0.000000   12.0000     0.0734
   15.000     0.000   1.659989   0.090143   0.000000   0.090143  -0.000000   0.000000   0.130736  -0.000000  -0.000000   12.0000     0.0731


