xflr5 v6.61

Plane name :        MH32
Polar name :        T1-12.0 m/s-VLM1-Inviscid
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.288997   0.002831   0.000000   0.002831   0.000000  -0.000000  -0.105893   0.000000   0.000000   12.0000     0.0245
   -4.500     0.000  -0.245452   0.002069   0.000000   0.002069   0.000000  -0.000000  -0.098988   0.000000   0.000000   12.0000     0.0187
   -4.000     0.000  -0.201868   0.001428   0.000000   0.001428   0.000000  -0.000000  -0.092055   0.000000   0.000000   12.0000     0.0103
   -3.500     0.000  -0.158249   0.000910   0.000000   0.000910   0.000000  -0.000000  -0.085097   0.000000   0.000000   12.0000    -0.0027
   -3.000     0.000  -0.114603   0.000514   0.000000   0.000514  -0.000000  -0.000000  -0.078114   0.000000   0.000000   12.0000    -0.0256
   -2.500     0.000  -0.070937   0.000242   0.000000   0.000242   0.000000  -0.000000  -0.071110   0.000000   0.000000   12.0000    -0.0766
   -2.000     0.000  -0.027257   0.000094   0.000000   0.000094  -0.000000  -0.000000  -0.064086   0.000000   0.000000   12.0000    -0.2911
   -1.500     0.000   0.016430   0.000070   0.000000   0.000070  -0.000000  -0.000000  -0.057045   0.000000   0.000000   12.0000     0.6352
   -1.000     0.000   0.060119   0.000169   0.000000   0.000169  -0.000000  -0.000000  -0.049989   0.000000   0.000000   12.0000     0.2152
   -0.500     0.000   0.103802   0.000393   0.000000   0.000393  -0.000000  -0.000000  -0.042920   0.000000   0.000000   12.0000     0.1487
    0.000     0.000   0.147472   0.000740   0.000000   0.000740  -0.000000  -0.000000  -0.035839   0.000000   0.000000   12.0000     0.1216
    0.500     0.000   0.191124   0.001211   0.000000   0.001211  -0.000000  -0.000000  -0.028750   0.000000   0.000000   12.0000     0.1069
    1.000     0.000   0.234750   0.001805   0.000000   0.001805  -0.000000  -0.000000  -0.021654   0.000000   0.000000   12.0000     0.0977
    1.500     0.000   0.278344   0.002523   0.000000   0.002523  -0.000000  -0.000000  -0.014554   0.000000   0.000000   12.0000     0.0913
    2.000     0.000   0.321899   0.003363   0.000000   0.003363  -0.000000  -0.000000  -0.007451  -0.000000  -0.000000   12.0000     0.0867
    2.500     0.000   0.365410   0.004325   0.000000   0.004325  -0.000000  -0.000000  -0.000348   0.000000   0.000000   12.0000     0.0832
    3.000     0.000   0.408869   0.005408   0.000000   0.005408  -0.000000  -0.000000   0.006752   0.000000   0.000000   12.0000     0.0805
    3.500     0.000   0.452270   0.006612   0.000000   0.006612  -0.000000  -0.000000   0.013849   0.000000   0.000000   12.0000     0.0782
    4.000     0.000   0.495607   0.007935   0.000000   0.007935  -0.000000  -0.000000   0.020939   0.000000   0.000000   12.0000     0.0764
    4.500     0.000   0.538872   0.009378   0.000000   0.009378  -0.000000  -0.000000   0.028021  -0.000000  -0.000000   12.0000     0.0749
    5.000     0.000   0.582061   0.010938   0.000000   0.010938  -0.000000  -0.000000   0.035092   0.000000   0.000000   12.0000     0.0736
    5.500     0.000   0.625165   0.012615   0.000000   0.012615  -0.000000   0.000000   0.042151  -0.000000  -0.000000   12.0000     0.0724
    6.000     0.000   0.668180   0.014407   0.000000   0.014407  -0.000000  -0.000000   0.049194  -0.000000  -0.000000   12.0000     0.0715
    6.500     0.000   0.711098   0.016314   0.000000   0.016314  -0.000000   0.000000   0.056220  -0.000000  -0.000000   12.0000     0.0706
    7.000     0.000   0.753913   0.018334   0.000000   0.018334  -0.000000  -0.000000   0.063228   0.000000   0.000000   12.0000     0.0699
    7.500     0.000   0.796620   0.020465   0.000000   0.020465  -0.000000   0.000000   0.070213  -0.000000  -0.000000   12.0000     0.0692
    8.000     0.000   0.839211   0.022705   0.000000   0.022705  -0.000000  -0.000000   0.077175  -0.000000  -0.000000   12.0000     0.0686
    8.500     0.000   0.881682   0.025054   0.000000   0.025054  -0.000000  -0.000000   0.084112   0.000000   0.000000   12.0000     0.0681
    9.000     0.000   0.924025   0.027510   0.000000   0.027510  -0.000000   0.000000   0.091021  -0.000000  -0.000000   12.0000     0.0676
    9.500     0.000   0.966234   0.030070   0.000000   0.030070  -0.000000   0.000000   0.097900  -0.000000  -0.000000   12.0000     0.0672
   10.000     0.000   1.008305   0.032732   0.000000   0.032732  -0.000000  -0.000000   0.104747   0.000000   0.000000   12.0000     0.0668
   10.500     0.000   1.050230   0.035496   0.000000   0.035496  -0.000000  -0.000000   0.111560   0.000000   0.000000   12.0000     0.0665
   11.000     0.000   1.092004   0.038359   0.000000   0.038359  -0.000000  -0.000000   0.118337   0.000000   0.000000   12.0000     0.0661
   11.500     0.000   1.133621   0.041318   0.000000   0.041318  -0.000000   0.000000   0.125076  -0.000000  -0.000000   12.0000     0.0659
   12.000     0.000   1.175075   0.044372   0.000000   0.044372  -0.000000  -0.000000   0.131774   0.000000   0.000000   12.0000     0.0656
   12.500     0.000   1.216361   0.047518   0.000000   0.047518  -0.000000  -0.000000   0.138431  -0.000000  -0.000000   12.0000     0.0653
   13.000     0.000   1.257473   0.050753   0.000000   0.050753  -0.000000  -0.000000   0.145043   0.000000   0.000000   12.0000     0.0651
   13.500     0.000   1.298406   0.054077   0.000000   0.054077  -0.000000   0.000000   0.151609  -0.000000  -0.000000   12.0000     0.0649
   14.000     0.000   1.339153   0.057485   0.000000   0.057485  -0.000000  -0.000000   0.158126   0.000000   0.000000   12.0000     0.0647
   14.500     0.000   1.379710   0.060976   0.000000   0.060976  -0.000000  -0.000000   0.164593  -0.000000  -0.000000   12.0000     0.0645
   15.000     0.000   1.420071   0.064546   0.000000   0.064546  -0.000000  -0.000000   0.171008  -0.000000  -0.000000   12.0000     0.0644


