xflr5 v6.61

Plane name :        NACA4412
Polar name :        T1-12.0 m/s-VLM1-Inviscid
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.150106   0.000868   0.000000   0.000868   0.000000   0.000000  -0.131729   0.000000   0.000000   12.0000    -0.0556
   -4.500     0.000  -0.106357   0.000499   0.000000   0.000499   0.000000   0.000000  -0.124458   0.000000   0.000000   12.0000    -0.1022
   -4.000     0.000  -0.062584   0.000253   0.000000   0.000253   0.000000   0.000000  -0.117151   0.000000   0.000000   12.0000    -0.2139
   -3.500     0.000  -0.018796   0.000130   0.000000   0.000130   0.000000   0.000000  -0.109811   0.000000   0.000000   12.0000    -0.8465
   -3.000     0.000   0.025002   0.000132   0.000000   0.000132   0.000000   0.000000  -0.102439   0.000000   0.000000   12.0000     0.7371
   -2.500     0.000   0.068803   0.000257   0.000000   0.000257   0.000000   0.000000  -0.095038   0.000000   0.000000   12.0000     0.3045
   -2.000     0.000   0.112600   0.000506   0.000000   0.000506   0.000000   0.000000  -0.087611   0.000000   0.000000   12.0000     0.2084
   -1.500     0.000   0.156387   0.000880   0.000000   0.000880   0.000000   0.000000  -0.080159  -0.000000  -0.000000   12.0000     0.1661
   -1.000     0.000   0.200157   0.001377   0.000000   0.001377  -0.000000   0.000000  -0.072685  -0.000000  -0.000000   12.0000     0.1424
   -0.500     0.000   0.243904   0.001998   0.000000   0.001998  -0.000000   0.000000  -0.065190   0.000000   0.000000   12.0000     0.1271
    0.000     0.000   0.287621   0.002742   0.000000   0.002742  -0.000000  -0.000000  -0.057679  -0.000000  -0.000000   12.0000     0.1165
    0.500     0.000   0.331301   0.003610   0.000000   0.003610  -0.000000   0.000000  -0.050151  -0.000000  -0.000000   12.0000     0.1087
    1.000     0.000   0.374938   0.004599   0.000000   0.004599  -0.000000  -0.000000  -0.042611  -0.000000  -0.000000   12.0000     0.1027
    1.500     0.000   0.418526   0.005711   0.000000   0.005711  -0.000000  -0.000000  -0.035060  -0.000000  -0.000000   12.0000     0.0980
    2.000     0.000   0.462057   0.006944   0.000000   0.006944  -0.000000  -0.000000  -0.027500  -0.000000  -0.000000   12.0000     0.0942
    2.500     0.000   0.505526   0.008298   0.000000   0.008298  -0.000000  -0.000000  -0.019934   0.000000   0.000000   12.0000     0.0910
    3.000     0.000   0.548926   0.009771   0.000000   0.009771  -0.000000  -0.000000  -0.012364  -0.000000  -0.000000   12.0000     0.0884
    3.500     0.000   0.592250   0.011363   0.000000   0.011363  -0.000000  -0.000000  -0.004793  -0.000000  -0.000000   12.0000     0.0861
    4.000     0.000   0.635493   0.013072   0.000000   0.013072  -0.000000  -0.000000   0.002778   0.000000   0.000000   12.0000     0.0841
    4.500     0.000   0.678647   0.014898   0.000000   0.014898  -0.000000  -0.000000   0.010346   0.000000   0.000000   12.0000     0.0824
    5.000     0.000   0.721706   0.016839   0.000000   0.016839  -0.000000  -0.000000   0.017908  -0.000000  -0.000000   12.0000     0.0810
    5.500     0.000   0.764665   0.018894   0.000000   0.018894  -0.000000  -0.000000   0.025463  -0.000000  -0.000000   12.0000     0.0796
    6.000     0.000   0.807516   0.021061   0.000000   0.021061  -0.000000  -0.000000   0.033008  -0.000000  -0.000000   12.0000     0.0785
    6.500     0.000   0.850254   0.023340   0.000000   0.023340  -0.000000  -0.000000   0.040540  -0.000000  -0.000000   12.0000     0.0774
    7.000     0.000   0.892872   0.025728   0.000000   0.025728  -0.000000  -0.000000   0.048058   0.000000   0.000000   12.0000     0.0765
    7.500     0.000   0.935364   0.028224   0.000000   0.028224  -0.000000  -0.000000   0.055560   0.000000   0.000000   12.0000     0.0756
    8.000     0.000   0.977724   0.030826   0.000000   0.030826  -0.000000  -0.000000   0.063042  -0.000000  -0.000000   12.0000     0.0748
    8.500     0.000   1.019947   0.033532   0.000000   0.033532  -0.000000  -0.000000   0.070503  -0.000000  -0.000000   12.0000     0.0741
    9.000     0.000   1.062025   0.036341   0.000000   0.036341  -0.000000  -0.000000   0.077940  -0.000000  -0.000000   12.0000     0.0735
    9.500     0.000   1.103954   0.039250   0.000000   0.039250  -0.000000  -0.000000   0.085351  -0.000000  -0.000000   12.0000     0.0729
   10.000     0.000   1.145727   0.042257   0.000000   0.042257  -0.000000  -0.000000   0.092734  -0.000000  -0.000000   12.0000     0.0724
   10.500     0.000   1.187339   0.045361   0.000000   0.045361  -0.000000  -0.000000   0.100087   0.000000   0.000000   12.0000     0.0718
   11.000     0.000   1.228783   0.048558   0.000000   0.048558  -0.000000  -0.000000   0.107407  -0.000000  -0.000000   12.0000     0.0714
   11.500     0.000   1.270054   0.051847   0.000000   0.051847  -0.000000  -0.000000   0.114692   0.000000   0.000000   12.0000     0.0710
