xflr5 v6.61

Plane name :        S1210
Polar name :        T1-12.0 m/s-VLM1-Inviscid
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.391084   0.005529   0.000000   0.005529  -0.000000   0.000000  -0.255199   0.000000   0.000000   12.0000     0.1796
   -4.500     0.000   0.434979   0.006719   0.000000   0.006719   0.000000   0.000000  -0.251115   0.000000   0.000000   12.0000     0.1673
   -4.000     0.000   0.478829   0.008036   0.000000   0.008036  -0.000000   0.000000  -0.246975   0.000000   0.000000   12.0000     0.1573
   -3.500     0.000   0.522626   0.009478   0.000000   0.009478   0.000000   0.000000  -0.242779   0.000000   0.000000   12.0000     0.1489
   -3.000     0.000   0.566363   0.011045   0.000000   0.011045  -0.000000   0.000000  -0.238529  -0.000000  -0.000000   12.0000     0.1419
   -2.500     0.000   0.610036   0.012736   0.000000   0.012736   0.000000   0.000000  -0.234227  -0.000000  -0.000000   12.0000     0.1359
   -2.000     0.000   0.653636   0.014551   0.000000   0.014551   0.000000   0.000000  -0.229873  -0.000000  -0.000000   12.0000     0.1306
   -1.500     0.000   0.697157   0.016489   0.000000   0.016489   0.000000   0.000000  -0.225468  -0.000000  -0.000000   12.0000     0.1261
   -1.000     0.000   0.740592   0.018549   0.000000   0.018549   0.000000   0.000000  -0.221015   0.000000   0.000000   12.0000     0.1220
   -0.500     0.000   0.783936   0.020729   0.000000   0.020729  -0.000000   0.000000  -0.216514   0.000000   0.000000   12.0000     0.1185
    0.000     0.000   0.827182   0.023029   0.000000   0.023029  -0.000000   0.000000  -0.211967  -0.000000  -0.000000   12.0000     0.1153
    0.500     0.000   0.870322   0.025448   0.000000   0.025448  -0.000000   0.000000  -0.207376   0.000000   0.000000   12.0000     0.1124
    1.000     0.000   0.913351   0.027984   0.000000   0.027984  -0.000000   0.000000  -0.202741   0.000000   0.000000   12.0000     0.1098
    1.500     0.000   0.956263   0.030635   0.000000   0.030635  -0.000000   0.000000  -0.198064  -0.000000  -0.000000   12.0000     0.1075
    2.000     0.000   0.999051   0.033400   0.000000   0.033400  -0.000000   0.000000  -0.193346  -0.000000  -0.000000   12.0000     0.1053
    2.500     0.000   1.041708   0.036278   0.000000   0.036278  -0.000000   0.000000  -0.188590  -0.000000  -0.000000   12.0000     0.1034
    3.000     0.000   1.084229   0.039268   0.000000   0.039268   0.000000   0.000000  -0.183796  -0.000000  -0.000000   12.0000     0.1016
    3.500     0.000   1.126608   0.042366   0.000000   0.042366   0.000000   0.000000  -0.178965   0.000000   0.000000   12.0000     0.0999
    4.000     0.000   1.168837   0.045571   0.000000   0.045571  -0.000000   0.000000  -0.174100  -0.000000  -0.000000   12.0000     0.0984
    4.500     0.000   1.210912   0.048882   0.000000   0.048882  -0.000000   0.000000  -0.169202  -0.000000  -0.000000   12.0000     0.0969
    5.000     0.000   1.252825   0.052296   0.000000   0.052296  -0.000000   0.000000  -0.164272   0.000000   0.000000   12.0000     0.0956
    5.500     0.000   1.294572   0.055812   0.000000   0.055812  -0.000000   0.000000  -0.159312   0.000000   0.000000   12.0000     0.0944
    6.000     0.000   1.336145   0.059427   0.000000   0.059427   0.000000   0.000000  -0.154323   0.000000   0.000000   12.0000     0.0932
    6.500     0.000   1.377541   0.063138   0.000000   0.063138   0.000000   0.000000  -0.149307   0.000000   0.000000   12.0000     0.0921
    7.000     0.000   1.418751   0.066944   0.000000   0.066944  -0.000000   0.000000  -0.144265   0.000000   0.000000   12.0000     0.0911
    7.500     0.000   1.459772   0.070842   0.000000   0.070842  -0.000000   0.000000  -0.139200   0.000000   0.000000   12.0000     0.0902
    8.000     0.000   1.500596   0.074830   0.000000   0.074830  -0.000000   0.000000  -0.134111   0.000000   0.000000   12.0000     0.0893
    8.500     0.000   1.541219   0.078905   0.000000   0.078905   0.000000   0.000000  -0.129002   0.000000   0.000000   12.0000     0.0885
    9.000     0.000   1.581636   0.083064   0.000000   0.083064   0.000000   0.000000  -0.123873  -0.000000  -0.000000   12.0000     0.0877
    9.500     0.000   1.621840   0.087305   0.000000   0.087305   0.000000   0.000000  -0.118726   0.000000   0.000000   12.0000     0.0869
   10.000     0.000   1.661826   0.091625   0.000000   0.091625   0.000000   0.000000  -0.113563  -0.000000  -0.000000   12.0000     0.0862
   10.500     0.000   1.701590   0.096021   0.000000   0.096021  -0.000000   0.000000  -0.108385   0.000000   0.000000   12.0000     0.0855
   11.000     0.000   1.741125   0.100490   0.000000   0.100490  -0.000000   0.000000  -0.103193  -0.000000  -0.000000   12.0000     0.0849
   11.500     0.000   1.780428   0.105030   0.000000   0.105030  -0.000000   0.000000  -0.097991  -0.000000  -0.000000   12.0000     0.0843
   12.000     0.000   1.819492   0.109637   0.000000   0.109637   0.000000   0.000000  -0.092778  -0.000000  -0.000000   12.0000     0.0837
   12.500     0.000   1.858313   0.114308   0.000000   0.114308  -0.000000   0.000000  -0.087557   0.000000   0.000000   12.0000     0.0832
   13.000     0.000   1.896886   0.119041   0.000000   0.119041   0.000000   0.000000  -0.082328   0.000000   0.000000   12.0000     0.0827
   13.500     0.000   1.935207   0.123831   0.000000   0.123831  -0.000000   0.000000  -0.077095  -0.000000  -0.000000   12.0000     0.0822
   14.000     0.000   1.973271   0.128677   0.000000   0.128677  -0.000000   0.000000  -0.071858   0.000000   0.000000   12.0000     0.0817
   14.500     0.000   2.011072   0.133574   0.000000   0.133574  -0.000000   0.000000  -0.066619  -0.000000  -0.000000   12.0000     0.0813
   15.000     0.000   2.048608   0.138519   0.000000   0.138519  -0.000000   0.000000  -0.061379  -0.000000  -0.000000   12.0000     0.0809


